id,pagerank
4,2.0778915483499145e-10
5,1.3771187720540903e-10
7,1.3771187720540903e-10
9,6.754266258807845e-10
10,6.754266258807845e-10
11,1.3771187720540903e-10
12,6.754266258807845e-10
14,4.180209877237388e-10
15,6.754266258807845e-10
16,1.0690701337505675e-09
17,4.1802098772373873e-10
20,6.754266258807845e-10
21,6.754266258807845e-10
22,9.526106988609627e-10
23,2.9848662762989635e-10
24,1.3771187720540903e-10
25,1.3771187720540903e-10
29,1.3771187720540903e-10
30,6.754266258807845e-10
31,2.7786643246457384e-10
32,3.210661987709132e-09
34,1.3771187720540903e-10
35,2.503881331548185e-10
37,6.754266258807845e-10
38,1.3771187720540903e-10
39,1.3771187720540903e-10
40,6.754266258807845e-10
41,8.399344429115533e-10
42,1.3771187720540903e-10
44,1.3771187720540903e-10
45,6.754266258807845e-10
46,8.759471095582808e-10
47,1.3771187720540903e-10
48,1.2068408187342903e-09
49,1.3771187720540903e-10
50,6.754266258807845e-10
52,6.754266258807845e-10
53,1.3771187720540903e-10
54,1.3771187720540903e-10
55,2.77866432464574e-10
56,6.754266258807845e-10
57,3.389719978349959e-10
58,3.0221969423617775e-10
63,6.754266258807845e-10
65,1.3771187720540903e-10
66,6.754266258807845e-10
70,1.3771187720540903e-10
72,1.3771187720540903e-10
73,6.754266258807845e-10
74,2.077891548349914e-10
75,1.3771187720540903e-10
77,1.0222056760034944e-09
80,4.385248632305829e-08
81,3.879376779108254e-09
85,1.3771187720540903e-10
86,1.406738164558157e-09
87,3.746026213754913e-09
88,1.3771187720540903e-10
89,1.3771187720540903e-10
90,6.754266258807845e-10
91,6.754266258807845e-10
92,2.503881331548185e-10
93,6.754266258807845e-10
94,1.0222056760034944e-09
95,4.84490927328119e-10
98,1.3771187720540903e-10
99,2.651265859314629e-10
100,6.754266258807845e-10
101,6.754266258807845e-10
102,1.3771187720540903e-10
103,1.3771187720540903e-10
105,1.1058088588745048e-09
107,1.3771187720540903e-10
108,2.778664324645739e-10
109,2.778664324645739e-10
110,6.754266258807845e-10
111,6.754266258807845e-10
112,8.399344429115533e-10
113,6.754266258807845e-10
115,2.503881331548185e-10
116,1.2817643276348315e-09
117,3.0221969423617775e-10
118,1.3771187720540903e-10
119,1.3771187720540903e-10
120,1.3771187720540903e-10
121,6.754266258807845e-10
122,7.881028818301939e-10
123,1.3771187720540903e-10
125,1.3771187720540903e-10
127,2.5038813315481846e-10
128,1.3771187720540903e-10
129,8.399344429115533e-10
130,6.754266258807845e-10
131,1.3771187720540903e-10
132,1.3771187720540903e-10
134,1.3771187720540903e-10
135,8.362013763052719e-10
137,3.0221969423617775e-10
138,6.754266258807845e-10
139,6.754266258807845e-10
140,2.503881331548185e-10
141,1.3771187720540903e-10
142,1.3771187720540903e-10
143,6.754266258807845e-10
144,6.754266258807845e-10
145,1.2040790687986162e-09
146,2.503881331548185e-10
147,6.754266258807845e-10
148,1.3771187720540903e-10
149,1.3771187720540903e-10
150,8.399344429115533e-10
152,6.754266258807845e-10
153,1.375246828515707e-09
156,7.881028818301939e-10
157,1.3771187720540903e-10
161,3.0221969423617775e-10
162,1.3771187720540903e-10
163,1.3771187720540903e-10
165,1.3771187720540903e-10
167,2.778664324645739e-10
168,8.174527253037934e-10
169,6.754266258807845e-10
170,1.3842672667367639e-09
171,7.881028818301939e-10
172,1.3771187720540903e-10
173,1.3771187720540903e-10
174,6.754266258807845e-10
175,1.3771187720540903e-10
176,1.3771187720540903e-10
177,2.503881331548185e-10
178,1.3771187720540903e-10
179,6.754266258807845e-10
180,1.2703166759052735e-09
181,6.754266258807845e-10
182,1.3771187720540903e-10
183,1.3771187720540903e-10
184,6.754266258807845e-10
185,6.754266258807845e-10
186,6.754266258807845e-10
190,1.3771187720540903e-10
191,7.881028818301939e-10
192,1.3771187720540903e-10
193,6.754266258807845e-10
194,6.754266258807845e-10
196,1.1058088588745048e-09
197,2.778664324645739e-10
198,2.503881331548185e-10
199,6.754266258807845e-10
200,1.3771187720540903e-10
201,8.766867465103714e-10
202,6.754266258807845e-10
203,6.754266258807845e-10
205,6.754266258807845e-10
206,1.3771187720540903e-10
208,2.077891548349914e-10
209,1.3771187720540903e-10
210,3.0221969423617775e-10
211,2.0778915483499145e-10
213,9.931326029250946e-10
214,1.3771187720540903e-10
216,6.754266258807845e-10
218,1.3771187720540903e-10
219,4.554178542497193e-10
220,1.3771187720540903e-10
221,6.754266258807845e-10
223,3.0221969423617775e-10
224,6.754266258807845e-10
225,1.3771187720540903e-10
226,6.754266258807845e-10
227,3.0221969423617775e-10
233,9.526106988609627e-10
281,2.503881331548185e-10
382,6.754266258807845e-10
395,4.148959501855872e-10
401,7.881028818301939e-10
402,3.0221969423617775e-10
404,2.503881331548185e-10
431,1.065337067144286e-09
451,6.817283127421656e-10
461,1.11338544928545e-09
